CL1001#//#8614#//#Hassan Tarhouni#//#0911021332#//#14230.750000
CL1002#//#2649#//#Omar Tarhouni#//#0911013541#//#8945.125000
CL1003#//#3592#//#Zaid Al-Warfali#//#0911030230#//#11360.400391
CL1004#//#5869#//#Anas Tarhouni#//#0911023096#//#3421.949951
CL1005#//#6072#//#Siraj Naser#//#0911006483#//#28900.685547
CL1006#//#8261#//#Khaled Sharif#//#0911008492#//#4115.333496
CL1007#//#5131#//#Abdullah Al-Mabrouk#//#0911025825#//#19540.000000
CL1008#//#5122#//#Khaled Essa#//#0911013878#//#6234.799805
CL1009#//#5182#//#Zaid Tarhouni#//#0911028652#//#24150.250000
CL1010#//#4855#//#Abdullah Misrati#//#0911023223#//#26845.900391
CL1011#//#5991#//#Mahmoud Fidda#//#0911016049#//#2950.550049
CL1012#//#2115#//#Mohammed Misrati#//#0911004439#//#21360.179688
CL1013#//#7535#//#Mustafa Fidda#//#0911013432#//#15840.000000
CL1014#//#5855#//#Abdullah Essa#//#0911021662#//#14295.650391
CL1015#//#1926#//#Ali Zreiba#//#0911013778#//#27450.449219
CL1016#//#7562#//#Mustafa Fidda#//#0911013267#//#31020.800781
CL1017#//#3263#//#Ahmed Tarhouni#//#0911030484#//#30540.119141
CL1018#//#1530#//#Abdullah Gaber#//#0911029209#//#28450.000000
CL1019#//#3989#//#Anas Al-Warfali#//#0911013075#//#9560.349609
CL1020#//#6173#//#Anas Sharif#//#0911000966#//#18240.750000
CL1021#//#2788#//#Ali Misrati#//#0911017952#//#29650.500000
CL1022#//#3888#//#Zaid Al-Warfali#//#0911001542#//#4890.990234
CL1023#//#5293#//#Ibrahim Salem#//#0911026950#//#25430.199219
CL1024#//#5799#//#Mustafa Al-Warfali#//#0911003248#//#12640.400391
CL1025#//#2988#//#Mustafa Al-Mabrouk#//#0911002498#//#15120.650391
CL1026#//#3358#//#Mohammed Essa#//#0911025192#//#19850.000000
CL1027#//#4947#//#Mohammed Salem#//#0911030915#//#26450.849609
CL1028#//#4574#//#Mohammed Badi#//#0911005877#//#8150.299805
CL1029#//#8436#//#Youssef Sharif#//#0911028514#//#21450.699219
CL1030#//#3179#//#Omar Badi#//#0911030692#//#845.250000
CL1031#//#5634#//#Tarek Misrati#//#091008932#//#13540.599609
CL1032#//#8324#//#Ali Al-Warfali#//#0911020317#//#12150.150391
CL1033#//#7152#//#Abdullah Naser#//#0911025902#//#32140.000000
CL1034#//#3668#//#Mahmoud Fidda#//#0911001348#//#11850.450195
CL1035#//#6502#//#Youssef Naser#//#0911003464#//#12450.900391
CL1036#//#4760#//#Ali Tarhouni#//#0911032403#//#18950.349609
CL1037#//#5808#//#Siraj Al-Warfali#//#0911009621#//#6540.799805
CL1038#//#5570#//#Khaled Al-Warfali#//#0911022262#//#17250.250000
CL1039#//#7544#//#Youssef Badi#//#0911005778#//#5940.600098
CL1040#//#3149#//#Youssef Zreiba#//#0911020648#//#22450.099609
CL1041#//#6503#//#Zaid Al-Mabrouk#//#0911021198#//#789.450012
CL1042#//#4353#//#Siraj Naser#//#0911005772#//#5840.149902
CL1043#//#6311#//#Siraj Misrati#//#0911014185#//#620.500000
CL1044#//#7000#//#Ahmed Salem#//#0911011406#//#28450.000000
CL1045#//#4716#//#Tarek Gaber#//#0911008784#//#16540.750000
CL1046#//#3144#//#Anas Al-Warfali#//#0911010812#//#30150.949219
CL1047#//#4707#//#Khaled Gaber#//#0911030840#//#19450.300781
CL1048#//#9324#//#Khaled Fidda#//#0911007071#//#3150.399902
CL1049#//#7490#//#Hassan Haddad#//#0911006234#//#8450.650391
CL1050#//#2990#//#Ibrahim Haddad#//#0911009311#//#6845.200195
CL1051#//#9274#//#Ibrahim Mansour#//#0911029870#//#16850.550781
CL1052#//#9511#//#Khaled Zreiba#//#0911016662#//#13150.000000
CL1053#//#2434#//#Youssef Al-Mabrouk#//#0911021355#//#6140.750000
CL1054#//#5282#//#Omar Badi#//#0911017140#//#24850.900391
CL1055#//#8342#//#Omar Naser#//#0911027901#//#16950.250000
